ipc_section,bns_section,status,notes
299,100,verified,"Culpable homicide - definition. Verified by direct text comparison of both PDFs."
300,101,verified,"Murder - definition. Verified by direct text comparison of both PDFs."
301,102,verified,"Culpable homicide by causing death of person other than person whose death was intended. Headnote text is identical in both PDFs."
302,103,verified,"Punishment for murder. Headnote text is identical in both PDFs."
303,104,verified,"Punishment for murder by life-convict. Headnote text is identical in both PDFs."
304,105,verified,"Punishment for culpable homicide not amounting to murder. Headnote/opening text matches closely."
53,4,suggested,fuzzy title match (96/100): 'Punishments' ~ 'Punishments.' — please verify
54,5,suggested,fuzzy title match (82/100): 'Commutation of sentence of death' ~ 'Commutation of sentence.' — please verify
57,6,suggested,fuzzy title match (98/100): 'Fractions of terms of punishment' ~ 'Fractions of terms of punishment.' — please verify
60,7,suggested,fuzzy title match (99/100): 'Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple' ~ 'Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.' — please verify
71,9,suggested,fuzzy title match (99/100): 'Limit of punishment of offence made up of several offences' ~ 'Limit of punishment of offence made up of several offences.' — please verify
72,10,suggested,"fuzzy title match (98/100): 'Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which' ~ 'Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which.' — please verify"
73,11,suggested,fuzzy title match (98/100): 'Solitary confinement' ~ 'Solitary confinement.' — please verify
74,12,suggested,fuzzy title match (98/100): 'Limit of solitary confinement' ~ 'Limit of solitary confinement.' — please verify
75,13,suggested,fuzzy title match (79/100): 'Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction' ~ 'Enhanced punishment for certain offences after previous conviction.' — please verify
76,14,suggested,"fuzzy title match (99/100): 'Act done by a person bound, or by mistake of fact believing himself bound, by law' ~ 'Act done by a person bound, or by mistake of fact believing himself bound, by law.' — please verify"
77,15,suggested,fuzzy title match (99/100): 'Act of Judge when acting judicially' ~ 'Act of Judge when acting judicially.' — please verify
78,16,suggested,fuzzy title match (95/100): 'Act done pursuant to the judgment or order of Court' ~ 'Act done pursuant to judgment or order of Court.' — please verify
79,17,suggested,"fuzzy title match (99/100): 'Act done by a person justified, or by mistake of fact believing himself justified, by law' ~ 'Act done by a person justified, or by mistake of fact believing himself justified, by law.' — please verify"
80,18,suggested,fuzzy title match (98/100): 'Accident in doing a lawful act' ~ 'Accident in doing a lawful act.' — please verify
81,19,suggested,"fuzzy title match (98/100): 'Act likely to cause harm, but done without criminal intent, and to prevent other harm' ~ 'Act likely to cause harm, but done without criminal intent, and to prevent other harm.' — please verify"
82,20,suggested,fuzzy title match (99/100): 'Act of a child under seven years of age' ~ 'Act of a child under seven years of age.' — please verify
83,21,suggested,fuzzy title match (91/100): 'Act of a child above seven and under twelve of immature understanding' ~ 'Act of a child above seven and under twelve years of age of immature understanding.' — please verify
84,22,suggested,fuzzy title match (98/100): 'Act of a person of unsound mind' ~ 'Act of a person of unsound mind.' — please verify
85,23,suggested,fuzzy title match (99/100): 'Act of a person incapable of judgment by reason of intoxication caused against his will' ~ 'Act of a person incapable of judgment by reason of intoxication caused against his will.' — please verify
86,24,suggested,fuzzy title match (99/100): 'Offence requiring a particular intent or knowledge committed by one who is intoxicated' ~ 'Offence requiring a particular intent or knowledge committed by one who is intoxicated.' — please verify
87,25,suggested,"fuzzy title match (99/100): 'Act not intended and not known to be likely to cause death or grievous hurt, done by consent' ~ 'Act not intended and not known to be likely to cause death or grievous hurt, done by consent.' — please verify"
88,26,suggested,"fuzzy title match (99/100): 'Act not intended to cause death, done by consent in good faith for person's benefit' ~ 'Act not intended to cause death, done by consent in good faith for person's benefit.' — please verify"
89,27,suggested,"fuzzy title match (89/100): 'Act done in good faith for benefit of child or insane person, by or by consent of guardian' ~ 'Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian.' — please verify"
90,28,suggested,fuzzy title match (99/100): 'Consent known to be given under fear or misconception' ~ 'Consent known to be given under fear or misconception.' — please verify
91,29,suggested,fuzzy title match (98/100): 'Exclusion of acts which are offences independently of harm cause' ~ 'Exclusion of acts which are offences independently of harm caused.' — please verify
92,30,suggested,fuzzy title match (99/100): 'Act done in good faith for benefit of a person without consent' ~ 'Act done in good faith for benefit of a person without consent.' — please verify
93,31,suggested,fuzzy title match (98/100): 'Communication made in good faith' ~ 'Communication made in good faith.' — please verify
94,32,suggested,fuzzy title match (99/100): 'Act to which a person is compelled by threats' ~ 'Act to which a person is compelled by threats.' — please verify
95,33,suggested,fuzzy title match (98/100): 'Act causing slight harm' ~ 'Act causing slight harm.' — please verify
96,34,suggested,fuzzy title match (98/100): 'Things done in private defence' ~ 'Things done in private defence.' — please verify
97,35,suggested,fuzzy title match (95/100): 'Right of private defence of the body and of property' ~ 'Right of private defence of body and of property.' — please verify
98,36,suggested,"fuzzy title match (97/100): 'Right of private defence against the act of a person of unsound mind, etc' ~ 'Right of private defence against act of a person of unsound mind, etc.' — please verify"
99,37,suggested,fuzzy title match (99/100): 'Acts against which there is no right of private defence' ~ 'Acts against which there is no right of private defence.' — please verify
100,38,suggested,fuzzy title match (93/100): 'When the right of private defence of the body extends to causing death' ~ 'When right of private defence of body extends to causing death.' — please verify
101,39,suggested,fuzzy title match (99/100): 'When such right extends to causing any harm other than death' ~ 'When such right extends to causing any harm other than death.' — please verify
102,40,suggested,fuzzy title match (93/100): 'Commencement and continuance of the right of private defence of the body' ~ 'Commencement and continuance of right of private defence of body.' — please verify
103,41,suggested,fuzzy title match (96/100): 'When the right of private defence of property extends to causing death' ~ 'When right of private defence of property extends to causing death.' — please verify
104,39,suggested,fuzzy title match (99/100): 'When such right extends to causing any harm other than death' ~ 'When such right extends to causing any harm other than death.' — please verify
105,43,suggested,fuzzy title match (96/100): 'Commencement and continuance of the right of private defence of property' ~ 'Commencement and continuance of right of private defence of property.' — please verify
106,44,suggested,fuzzy title match (99/100): 'Right of private defence against deadly assault when there is risk of harm to innocent person' ~ 'Right of private defence against deadly assault when there is risk of harm to innocent person.' — please verify
107,45,suggested,fuzzy title match (97/100): 'Abetment of a thing' ~ 'Abetment of a thing.' — please verify
108,46,suggested,fuzzy title match (93/100): 'Abettor' ~ 'Abettor.' — please verify
108A,47,suggested,fuzzy title match (99/100): 'Abetment in India of offences outside India' ~ 'Abetment in India of offences outside India.' — please verify
109,49,suggested,fuzzy title match (98/100): 'Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment' ~ 'Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.' — please verify
110,50,suggested,fuzzy title match (99/100): 'Punishment of abetment if person abetted does act with different intention from that of abettor' ~ 'Punishment of abetment if person abetted does act with different intention from that of abettor.' — please verify
111,51,suggested,fuzzy title match (99/100): 'Liability of abettor when one act abetted and different act done' ~ 'Liability of abettor when one act abetted and different act done.' — please verify
112,52,suggested,fuzzy title match (99/100): 'Abettor when liable to cumulative punishment for act abetted and for act done' ~ 'Abettor when liable to cumulative punishment for act abetted and for act done.' — please verify
113,53,suggested,fuzzy title match (96/100): 'Liability of abettor for an effect caused by the act abetted different from that intended by the abettor' ~ 'Liability of abettor for an effect caused by act abetted different from that intended by abettor.' — please verify
114,54,suggested,fuzzy title match (99/100): 'Abettor present when offence is committed' ~ 'Abettor present when offence is committed.' — please verify
115,55,suggested,fuzzy title match (84/100): 'Abetment of offence punishable with death or imprisonment for life—if offence not committed' ~ 'Abetment of offence punishable with death or imprisonment for life.' — please verify
116,55,suggested,fuzzy title match (78/100): 'Abetment of offence punishable with imprisonment—if offence be not committed' ~ 'Abetment of offence punishable with death or imprisonment for life.' — please verify
117,57,suggested,fuzzy title match (96/100): 'Abetting commission of offence by the public or by more than ten persons' ~ 'Abetting commission of offence by public or by more than ten persons.' — please verify
118,58,suggested,fuzzy title match (99/100): 'Concealing design to commit offence punishable with death or imprisonment for life' ~ 'Concealing design to commit offence punishable with death or imprisonment for life.' — please verify
119,59,suggested,fuzzy title match (99/100): 'Public servant concealing design to commit offence which it is his duty to prevent' ~ 'Public servant concealing design to commit offence which it is his duty to prevent.' — please verify
120,60,suggested,fuzzy title match (99/100): 'Concealing design to commit offence punishable with imprisonment' ~ 'Concealing design to commit offence punishable with imprisonment.' — please verify
121,147,suggested,"fuzzy title match (96/100): 'Waging or attempting to wage war or abetting waging of war against the Government of India' ~ 'Waging, or attempting to wage war, or abetting waging of war, against Government of India.' — please verify"
121A,148,suggested,fuzzy title match (95/100): 'Conspiracy to commit offences punishable by section 121' ~ 'Conspiracy to commit offences punishable by section 147.' — please verify
122,149,suggested,"fuzzy title match (97/100): 'Collecting arms, etc., with intention of waging war against the Government of India' ~ 'Collecting arms, etc., with intention of waging war against Government of India.' — please verify"
123,150,suggested,fuzzy title match (99/100): 'Concealing with intent to facilitate design to wage war' ~ 'Concealing with intent to facilitate design to wage war.' — please verify
124,151,suggested,"fuzzy title match (98/100): 'Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power' ~ 'Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power.' — please verify"
126,154,suggested,fuzzy title match (88/100): 'Committing depredation on territories of Power at peace with the Government of India' ~ 'Committing depredation on territories of foreign State at peace with Government of India.' — please verify
127,155,suggested,fuzzy title match (96/100): 'Receiving property taken by war or depredation mentioned in sections 125 and 126' ~ 'Receiving property taken by war or depredation mentioned in sections 153 and 154.' — please verify
128,156,suggested,fuzzy title match (99/100): 'Public servant voluntarily allowing prisoner of State or war to escape' ~ 'Public servant voluntarily allowing prisoner of State or war to escape.' — please verify
129,157,suggested,fuzzy title match (99/100): 'Public servant negligently suffering such prisoner to escape' ~ 'Public servant negligently suffering such prisoner to escape.' — please verify
130,158,suggested,"fuzzy title match (99/100): 'Aiding escape of, rescuing or harbouring such prisoner' ~ 'Aiding escape of, rescuing or harbouring such prisoner.' — please verify"
131,159,suggested,"fuzzy title match (99/100): 'Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty' ~ 'Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.' — please verify"
132,160,suggested,"fuzzy title match (99/100): 'Abetment of mutiny, if mutiny is committed in consequence thereof' ~ 'Abetment of mutiny, if mutiny is committed in consequence thereof.' — please verify"
133,161,suggested,"fuzzy title match (100/100): 'Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office' ~ 'Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office.' — please verify"
141,189,suggested,fuzzy title match (97/100): 'Unlawful assembly' ~ 'Unlawful assembly.' — please verify
143,4,suggested,fuzzy title match (91/100): 'Punishment' ~ 'Punishments.' — please verify
146,191,suggested,fuzzy title match (93/100): 'Rioting' ~ 'Rioting.' — please verify
147,64,suggested,fuzzy title match (76/100): 'Punishment for rioting' ~ 'Punishment for rape.' — please verify
149,190,suggested,fuzzy title match (99/100): 'Every member of unlawful assembly guilty of offence committed in prosecution of common object' ~ 'Every member of unlawful assembly guilty of offence committed in prosecution of common object.' — please verify
152,195,suggested,"fuzzy title match (99/100): 'Assaulting or obstructing public servant when suppressing riot, etc' ~ 'Assaulting or obstructing public servant when suppressing riot, etc.' — please verify"
153,192,suggested,fuzzy title match (92/100): 'Wantonly giving provocation with intent to cause riot—if rioting be committed—if not committed' ~ 'Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed.' — please verify
153A,196,suggested,"fuzzy title match (100/100): 'Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony' ~ 'Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.' — please verify"
153B,197,suggested,"fuzzy title match (99/100): 'Imputations, assertions prejudicial to national integration' ~ 'Imputations, assertions prejudicial to national integration.' — please verify"
159,194,suggested,fuzzy title match (92/100): 'Affray' ~ 'Affray.' — please verify
166,198,suggested,"fuzzy title match (99/100): 'Public servant disobeying law, with intent to cause injury to any person' ~ 'Public servant disobeying law, with intent to cause injury to any person.' — please verify"
166A,199,suggested,fuzzy title match (99/100): 'Public servant disobeying direction under law' ~ 'Public servant disobeying direction under law.' — please verify
166B,200,suggested,fuzzy title match (90/100): 'Punishment for non-treatment of victim' ~ 'Punishment for non- treatment of victim.' — please verify
167,201,suggested,fuzzy title match (99/100): 'Public servant framing an incorrect document with intent to cause injury' ~ 'Public servant framing an incorrect document with intent to cause injury.' — please verify
168,202,suggested,fuzzy title match (99/100): 'Public servant unlawfully engaging in trade' ~ 'Public servant unlawfully engaging in trade.' — please verify
169,203,suggested,fuzzy title match (99/100): 'Public servant unlawfully buying or bidding for property' ~ 'Public servant unlawfully buying or bidding for property.' — please verify
170,204,suggested,fuzzy title match (98/100): 'Personating a public servant' ~ 'Personating a public servant.' — please verify
171,205,suggested,fuzzy title match (99/100): 'Wearing garb or carrying token used by public servant with fraudulent intent' ~ 'Wearing garb or carrying token used by public servant with fraudulent intent.' — please verify
172,206,suggested,fuzzy title match (99/100): 'Absconding to avoid service of summons or other proceeding' ~ 'Absconding to avoid service of summons or other proceeding.' — please verify
173,207,suggested,"fuzzy title match (99/100): 'Preventing service of summons or other proceeding, or preventing publication thereof' ~ 'Preventing service of summons or other proceeding, or preventing publication thereof.' — please verify"
174,208,suggested,fuzzy title match (93/100): 'Non-attendance in obedience to an order from public servant' ~ 'Non- attendance in obedience to an order from public servant.' — please verify
175,210,suggested,fuzzy title match (88/100): 'Omission to produce document to public servant by person legally bound to produce it' ~ 'Omission to produce document or electronic record to public servant by person legally bound to produce it.' — please verify
176,211,suggested,fuzzy title match (99/100): 'Omission to give notice or information to public servant by person legally bound to give it' ~ 'Omission to give notice or information to public servant by person legally bound to give it.' — please verify
177,212,suggested,fuzzy title match (98/100): 'Furnishing false information' ~ 'Furnishing false information.' — please verify
178,213,suggested,fuzzy title match (99/100): 'Refusing oath or affirmation when duly required by public servant to make it' ~ 'Refusing oath or affirmation when duly required by public servant to make it.' — please verify
179,214,suggested,fuzzy title match (99/100): 'Refusing to answer public servant authorised to question' ~ 'Refusing to answer public servant authorised to question.' — please verify
180,215,suggested,fuzzy title match (98/100): 'Refusing to sign statement' ~ 'Refusing to sign statement.' — please verify
181,216,suggested,fuzzy title match (100/100): 'False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation' ~ 'False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.' — please verify
182,217,suggested,"fuzzy title match (98/100): 'False information, with intent to cause public servant to use his lawful power to the injury of another person' ~ 'False information, with intent to cause public servant to use his lawful power to injury of another person.' — please verify"
183,218,suggested,fuzzy title match (94/100): 'Resistance to the taking of property by the lawful authority of a public servant' ~ 'Resistance to taking of property by lawful authority of a public servant.' — please verify
184,219,suggested,fuzzy title match (99/100): 'Obstructing sale of property offered for sale by authority of public servant' ~ 'Obstructing sale of property offered for sale by authority of public servant.' — please verify
185,220,suggested,fuzzy title match (99/100): 'Illegal purchase or bid for property offered for sale by authority of public servant' ~ 'Illegal purchase or bid for property offered for sale by authority of public servant.' — please verify
186,221,suggested,fuzzy title match (99/100): 'Obstructing public servant in discharge of public functions' ~ 'Obstructing public servant in discharge of public functions.' — please verify
187,222,suggested,fuzzy title match (99/100): 'Omission to assist public servant when bound by law to give assistance' ~ 'Omission to assist public servant when bound by law to give assistance.' — please verify
188,223,suggested,fuzzy title match (99/100): 'Disobedience to order duly promulgated by public servant' ~ 'Disobedience to order duly promulgated by public servant.' — please verify
189,224,suggested,fuzzy title match (99/100): 'Threat of injury to public servant' ~ 'Threat of injury to public servant.' — please verify
190,225,suggested,fuzzy title match (99/100): 'Threat of injury to induce person to refrain from applying for protection to public servant' ~ 'Threat of injury to induce person to refrain from applying for protection to public servant.' — please verify
191,227,suggested,fuzzy title match (98/100): 'Giving false evidence' ~ 'Giving false evidence.' — please verify
192,228,suggested,fuzzy title match (98/100): 'Fabricating false evidence' ~ 'Fabricating false evidence.' — please verify
193,229,suggested,fuzzy title match (98/100): 'Punishment for false evidence' ~ 'Punishment for false evidence.' — please verify
194,230,suggested,fuzzy title match (99/100): 'Giving or fabricating false evidence with intent to procure conviction of capital offence' ~ 'Giving or fabricating false evidence with intent to procure conviction of capital offence.' — please verify
195,231,suggested,fuzzy title match (100/100): 'Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment' ~ 'Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.' — please verify
